xid,rera_no,state,proj_name,prom_name,project_type,project_sub_type,project_comp_date,proj_status,total_area,num_of_towers,project_address,project_desc
PRM/KA/RERA/1250/304/PR/180724/006943,PRM/KA/RERA/1250/304/PR/180724/006943,Karnatka,SOWPARNIKA EUPHORIA IN THE EAST,SOWPARNIKA HOMES PRIVATE LIMITED,Residential/Group Housing,Apartment,31-05-2031,New Project Launch,32241,1,,
PRM/KA/RERA/1251/310/PR/190726/002733,PRM/KA/RERA/1251/310/PR/190726/002733,Karnatka,GOPALAN FLORENZA,GOPALAN ENTERPRISES,Residential/Group Housing,,24-01-2023,New Project Launch,25039,,"KATHA NO: 422/16/2/22 (SY.NO.16/2&22), GANAKALLU VILLAGE, KENGERI HOBLI, BANGALORE SOUTH TALUK",
PRM/KA/RERA/1251/446/PR/190924/007044,PRM/KA/RERA/1251/446/PR/190924/007044,Karnatka,SUMADHURA EPITOME-I,SUMADHURA HOMES LLP,Residential/Group Housing,Apartment,31-12-2027,New Project Launch,15169,3,,
PRM/KA/RERA/1251/309/PR/220223/005748,PRM/KA/RERA/1251/309/PR/220223/005748,Karnatka,DS MAX SHRESTA,DS MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,Apartment,31-07-2026,New Project Launch,8093,1,"SITE/KHATHA NO:SL NO:6 SY NO 93, BELLAHALLI , YELAHANKA ZONE , Bengaluru North , Bengaluru Urban, Karnataka - 562149",
PRM/KA/RERA/1250/301/PR/140524/006871,PRM/KA/RERA/1250/301/PR/140524/006871,Karnatka,REWILD DODDABALLAPURA,REWILD LIFE LLP,Plotted Development,,13-06-2029,New Project Launch,,,"SY. Nos. 76 of Ojenahalli Village & Sy Nos. 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30 & 35 of Hosanagenahalli , Village, Ojenahalli &Hosanagenahalli (V), Saslu (H),Doddaballapura Taluk, Bengaluru Rural , Doddaballapura , Bengaluru Rural, Karnataka - 561203",
PRM/KA/RERA/1251/308/PR/170824/006975,PRM/KA/RERA/1251/308/PR/170824/006975,Karnatka,THE LAKE TERRACES,KEYA HOMES INFRA LLP,Residential/Group Housing,Apartment,30-09-2026,Ongoing,8610,2,"Neotown , 100 Feet Road , Anekal , Bengaluru Urban, Karnataka - 560100",
PRM/KA/RERA/1251/309/PR/170322/004775,PRM/KA/RERA/1251/309/PR/170322/004775,Karnatka,BRIGADE LAGUNA,BRIGADE ENTERPRISES LTD,Residential/Group Housing,Apartment,31-12-2025,New Project Launch,11229,4,,
PRM/KA/RERA/1251/472/PR/060924/007009,PRM/KA/RERA/1251/472/PR/060924/007009,Karnatka,SATTVA LUMINA,SATTVA RESI PRIVATE LIMITED,Residential/Group Housing,Apartment,1/11/2029,New Project Launch,51951,8,"Sy. No.20/2, 20/3, 20/4, 20/5, 28/2, 28/4, 28/5, 29/1, 30/1, 30/2, 30/3, 30/4 and 30/5 of Rajanukunte Village , Hesaraghatta Hobli, Yelahanka Taluk , Yelahanka , Bengaluru Urban, Karnataka - 560064",
PRM/KA/RERA/1251/446/PR/290423/005906,PRM/KA/RERA/1251/446/PR/290423/005906,Karnatka,PRESTIGE LAVENDER FIELDS,PRESTIGE OFFICE VENTURES,Residential/Group Housing,Apartment,31-05-2027,New Project Launch,69999,6,"KATHA NO. 2146, MUNCIPAL NO.328, , SY NO. 206/4, 207/6, 207/7, 220/2A, 220/2B, 220/7, 220/9, 220/10, 221/2, of Gunjur Village, Sy.No.190, 191/3, 191/4, 191/5, 191/6, 198/1, GUNJUR VILLAGE, VARTHUR HOBLI, WARD NO.149, BANGALORE EAST , Bengaluru East , Bengaluru Urban, Karnataka - 560087",
PRM/KA/RERA/1251/446/PR/300924/007105,PRM/KA/RERA/1251/446/PR/300924/007105,Karnatka,GODREJ LAKESIDE ORCHARD,GODREJ PROPERTIES LIMITED,Residential/Group Housing,Apartment,30-09-2030,New Project Launch,48829,8,,
PRM/KA/RERA/1251/310/PR/120423/005862,PRM/KA/RERA/1251/310/PR/120423/005862,Karnatka,CASAGRAND ZAIDEN,CASA GRANDE GARDEN CITY BUILDERS PVT LTD,Residential/Group Housing,Apartment,22-03-2026,New Project Launch,14928,3,"SY.NO.59 (OLD SY.NO.7/9), KHATHA NO.237/1/7/9/7/18 at WARD NO.198 , UTTARAHALLI MANAVARTHAKAVAL VILLAGE , Bengaluru South , Bengaluru Urban, Karnataka - 560062",
PRM/KA/RERA/1251/309/PR/270924/007088,PRM/KA/RERA/1251/309/PR/270924/007088,Karnatka,CONCORDE NEO,CONCORDE HOUSING CORPORATION PVT LTD,Residential/Group Housing,Apartment,31-10-2029,New Project Launch,17559,6,,
PRM/KA/RERA/1251/310/PR/290323/005829,PRM/KA/RERA/1251/310/PR/290323/005829,Karnatka,PURVA BLUBELLE,PURAVANKARA LIMITED,Residential/Group Housing,Apartment,30-06-2029,New Project Launch,15570,2,,
PRM/KA/RERA/1251/446/PR/221024/007164,PRM/KA/RERA/1251/446/PR/221024/007164,Karnatka,COURTYARD OF LIFE,NAVANAAMI PROJECTS PRIVATE LIMITED,Residential/Group Housing,Apartment,15-06-2029,Ongoing,13405,1,"Residential Apartment Building in SY No. 25/4, 25/8, 25/18, 25/9, 25/10, 25/16, 25/19 and 25/11 Kodathi Village, Varthur Hobli, Bangalore East Taluk, , Bangalore Urban District , Bengaluru East , Bengaluru Urban, Karnataka - 560099",
PRM/KA/RERA/1251/308/PR/090523/005925,PRM/KA/RERA/1251/308/PR/090523/005925,Karnatka,SOWPARNIKA LIFE ON THE GREEN,SOWPARNIKA SUPERTECH PRIVATE LIMITED,Plotted Development,,9/4/2026,Completed,,,"Sy. No. 72/1, 72/2, 80/4, 80/7, 81 and 88 , Bidaraguppe Village , Anekal , Bengaluru Urban, Karnataka - 562107",
