XID,Project Name,Unit Type,Area,Price,Area Type
433808,Supreme Boulevard,3 BHK 1065 Sq. Ft. Apartment,1065 Sq. Ft.,Rs 3.93 Cr,(Carpet)
429967,Dosti Willow,2 BHK 833 Sq. Ft. Apartment,833 Sq. Ft.,Rs 1.69 Cr,(Carpet)
429967,Dosti Willow,3 BHK 1264 Sq. Ft. Apartment,1264 Sq. Ft.,Rs 2.67 Cr,(Carpet)
429967,Dosti Willow,3 BHK 1275 Sq. Ft. Apartment,1275 Sq. Ft.,Rs 2.71 Cr,(Carpet)
425274,Shree Sai Ayaana,1 BHK 322 Sq. Ft. Apartment,322 Sq. Ft.,Rs 35.22 Lac,(Carpet)
425274,Shree Sai Ayaana,1 BHK 445 Sq. Ft. Apartment,445 Sq. Ft.,Rs 48.67 Lac,(Carpet)
425274,Shree Sai Ayaana,2 BHK 520 Sq. Ft. Apartment,520 Sq. Ft.,Rs 56.88 Lac,(Carpet)
425274,Shree Sai Ayaana,2 BHK 537 Sq. Ft. Apartment,537 Sq. Ft.,Rs 58.73 Lac,(Carpet)
424907,Arkade Eden,2 BHK 597 Sq. Ft. Apartment,597 Sq. Ft.,Rs 2.17 Cr,(Carpet)
424907,Arkade Eden,2 BHK 720 Sq. Ft. Apartment,720 Sq. Ft.,Rs 2.62 Cr,(Carpet)
424907,Arkade Eden,3 BHK 838 Sq. Ft. Apartment,838 Sq. Ft.,Rs 3.05 Cr,(Carpet)
424907,Arkade Eden,3 BHK 991 Sq. Ft. Apartment,991 Sq. Ft.,Rs 3.60 Cr,(Carpet)
433951,DLH Dawn,2 BHK 674 Sq. Ft. Apartment,674 Sq. Ft.,Rs 4.39 Cr,(Carpet)
433951,DLH Dawn,2 BHK 842 Sq. Ft. Apartment,842 Sq. Ft.,Rs 5.49 Cr,(Carpet)
433951,DLH Dawn,3 BHK 1221 Sq. Ft. Apartment,1221 Sq. Ft.,Rs 7.95 Cr,(Carpet)
433951,DLH Dawn,3 BHK 1262 Sq. Ft. Apartment,1262 Sq. Ft.,Rs 8.22 Cr,(Carpet)
433951,DLH Dawn,4 BHK 1394 Sq. Ft. Apartment,1394 Sq. Ft.,Rs 9.08 Cr,(Carpet)
425032,Vaibhavlaxmi Queens Avenue,1 BHK 395 Sq. Ft. Apartment,395 Sq. Ft.,Rs 1.10 Cr,(Carpet)
425032,Vaibhavlaxmi Queens Avenue,2 BHK 569 Sq. Ft. Apartment,569 Sq. Ft.,Rs 1.62 Cr,(Carpet)
425032,Vaibhavlaxmi Queens Avenue,2 BHK 650 Sq. Ft. Apartment,650 Sq. Ft.,Rs 1.90 Cr,(Carpet)
430206,Precious Majestic,1 BHK 295 Sq. Ft. Apartment,295 Sq. Ft.,Price on Request,(Carpet)
430206,Precious Majestic,2 BHK 592 Sq. Ft. Apartment,592 Sq. Ft.,Price on Request,(Carpet)
430246,Avianna Invicta,1 BHK 418 Sq. Ft. Apartment,418 Sq. Ft.,Rs 69.00 Lac,(Carpet)
430246,Avianna Invicta,1 BHK 463 Sq. Ft. Apartment,463 Sq. Ft.,Rs 76.43 Lac,(Carpet)
430246,Avianna Invicta,2 BHK 497 Sq. Ft. Apartment,497 Sq. Ft.,Rs 82.04 Lac,(Carpet)
430246,Avianna Invicta,3 BHK 720 Sq. Ft. Apartment,720 Sq. Ft.,Rs 1.19 Cr,(Carpet)
430268,Raheja Lunaris,2 BHK 452 Sq. Ft. Apartment,452 Sq. Ft.,Rs 1.12 Cr,(Carpet)
430268,Raheja Lunaris,2 BHK 649 Sq. Ft. Apartment,649 Sq. Ft.,Rs 1.61 Cr,(Carpet)
430268,Raheja Lunaris,2 BHK 725 Sq. Ft. Apartment,725 Sq. Ft.,Rs 1.90 Cr,(Carpet)
